epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,99.7071,1.53594,3.16537,0.0044,0.2399,0.21743,0.22322,0.13719,1.39478,1.77521,0.00527,0.000412281,0.000412281,0.000412281
2,139.497,1.49614,1.37134,0.00437,0.82173,0.31657,0.36839,0.23889,1.36438,1.06657,0.00511,0.000827306,0.000827306,0.000827306
3,176.525,1.4708,1.14217,0.00434,0.55459,0.34161,0.34995,0.23164,1.31173,0.99573,0.00495,0.00124068,0.00124068,0.00124068
4,212.344,1.45761,1.03513,0.00414,0.78189,0.38481,0.36574,0.23684,1.31851,0.99092,0.00492,0.00124257,0.00124257,0.00124257
5,247.176,1.41027,0.97568,0.0042,0.65044,0.49326,0.51363,0.33996,1.27431,0.84726,0.00483,0.0012401,0.0012401,0.0012401
6,281.165,1.39143,0.90576,0.00404,0.60123,0.81611,0.63595,0.43523,1.30098,0.81604,0.00492,0.00123763,0.00123763,0.00123763
7,315.255,1.38739,0.85889,0.00385,0.56263,0.49521,0.61638,0.42414,1.24267,0.7828,0.00466,0.00123515,0.00123515,0.00123515
8,348.67,1.35196,0.82067,0.00397,0.65925,0.67073,0.66854,0.44821,1.27316,0.74976,0.00476,0.00123268,0.00123268,0.00123268
9,383.512,1.35154,0.79315,0.00394,0.53402,0.8014,0.66073,0.43868,1.26332,0.76973,0.00482,0.0012302,0.0012302,0.0012302
10,421.922,1.36914,0.77338,0.00399,0.45288,0.54099,0.51546,0.33447,1.29331,0.6976,0.00504,0.00122773,0.00122773,0.00122773
11,461.207,1.37285,0.75827,0.00405,0.85778,0.59687,0.63335,0.42879,1.22789,0.68161,0.00465,0.00122525,0.00122525,0.00122525
12,499.371,1.35276,0.73717,0.00388,0.83565,0.59958,0.69414,0.46115,1.23963,0.64834,0.00471,0.00122277,0.00122277,0.00122277
13,539.021,1.33256,0.71255,0.00388,0.57654,0.4958,0.58691,0.37432,1.30315,0.68269,0.00494,0.0012203,0.0012203,0.0012203
14,577.925,1.32855,0.69386,0.00376,0.7742,0.6669,0.63665,0.42713,1.23078,0.61682,0.00463,0.00121783,0.00121783,0.00121783
15,615.866,1.31136,0.66857,0.00378,0.59992,0.75143,0.69955,0.47493,1.21946,0.62579,0.0046,0.00121535,0.00121535,0.00121535
16,653.99,1.33968,0.66687,0.00387,0.67816,0.76957,0.75832,0.51632,1.28651,0.63165,0.00483,0.00121287,0.00121287,0.00121287
17,690.086,1.30376,0.663,0.00377,0.47003,0.83032,0.69661,0.48011,1.22457,0.63801,0.00467,0.0012104,0.0012104,0.0012104
18,725.704,1.32482,0.65453,0.00373,0.50234,0.75171,0.68707,0.46533,1.21984,0.58977,0.00468,0.00120793,0.00120793,0.00120793
19,766.484,1.28668,0.63142,0.00366,0.55623,0.70148,0.69166,0.47972,1.22229,0.56465,0.00455,0.00120545,0.00120545,0.00120545
20,808.285,1.28607,0.62715,0.00358,0.82809,0.65981,0.69808,0.46652,1.1877,0.60457,0.00448,0.00120298,0.00120298,0.00120298
21,848.259,1.30324,0.62612,0.00372,0.4771,0.83667,0.66364,0.39992,1.25945,0.56399,0.00475,0.0012005,0.0012005,0.0012005
22,885.667,1.28863,0.60965,0.0037,0.55891,0.95271,0.71667,0.49407,1.21836,0.55191,0.00455,0.00119802,0.00119802,0.00119802
23,924.795,1.28725,0.61044,0.00366,0.65506,0.63801,0.73336,0.5197,1.19489,0.5641,0.00452,0.00119555,0.00119555,0.00119555
24,960.174,1.25764,0.59223,0.00354,0.88659,0.62624,0.7015,0.46168,1.17072,0.533,0.00438,0.00119308,0.00119308,0.00119308
25,997.033,1.26631,0.58069,0.00367,0.48,0.76235,0.65525,0.45474,1.15368,0.508,0.00434,0.0011906,0.0011906,0.0011906
26,1035.34,1.27336,0.59176,0.00365,0.74541,0.62036,0.65826,0.45867,1.18433,0.55082,0.00442,0.00118812,0.00118812,0.00118812
27,1070.77,1.277,0.59162,0.00365,0.67438,0.77651,0.78558,0.47065,1.16229,0.52718,0.00438,0.00118565,0.00118565,0.00118565
28,1106.35,1.24782,0.56413,0.00365,0.58585,0.91696,0.92232,0.55384,1.18493,0.5173,0.0044,0.00118317,0.00118317,0.00118317
