epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,109.661,1.60176,3.65702,0.00454,0.57933,0.24547,0.33711,0.19559,1.45548,1.92265,0.00548,0.000412186,0.000412186,0.000412186
2,154.781,1.55987,1.49267,0.00444,0.42296,0.48304,0.45362,0.26749,1.37948,1.23493,0.0053,0.000827212,0.000827212,0.000827212
3,199.091,1.48668,1.26429,0.00419,0.70065,0.48244,0.49595,0.29449,1.45585,1.09107,0.00542,0.00124059,0.00124059,0.00124059
4,232.66,1.4783,1.11221,0.0042,0.69014,0.52887,0.51166,0.31958,1.36124,0.96106,0.00521,0.00124257,0.00124257,0.00124257
5,266.325,1.44026,1.01475,0.00406,0.78566,0.5842,0.6065,0.38715,1.38775,0.85118,0.00527,0.0012401,0.0012401,0.0012401
6,299.988,1.42979,0.94664,0.00406,0.82737,0.55151,0.60937,0.40417,1.33085,0.79901,0.00501,0.00123763,0.00123763,0.00123763
7,333.93,1.44235,0.91179,0.00398,0.83778,0.55659,0.66092,0.41983,1.34674,0.77163,0.00509,0.00123515,0.00123515,0.00123515
8,367.669,1.40769,0.85952,0.00388,0.79622,0.65832,0.70325,0.44377,1.34239,0.76394,0.00512,0.00123268,0.00123268,0.00123268
9,401.392,1.37225,0.82787,0.0038,0.68163,0.61656,0.66877,0.43456,1.306,0.71865,0.00488,0.0012302,0.0012302,0.0012302
10,434.888,1.36244,0.79942,0.00388,0.71742,0.65659,0.70665,0.455,1.2776,0.68832,0.00481,0.00122773,0.00122773,0.00122773
11,469.178,1.37937,0.75847,0.00387,0.69016,0.63628,0.69778,0.45123,1.28135,0.6573,0.00477,0.00122525,0.00122525,0.00122525
12,502.234,1.37346,0.75484,0.00391,0.7195,0.64998,0.70972,0.46154,1.28364,0.65873,0.00485,0.00122277,0.00122277,0.00122277
13,535.607,1.33648,0.7256,0.0038,0.83123,0.62101,0.72424,0.46189,1.32619,0.65659,0.00486,0.0012203,0.0012203,0.0012203
14,568.255,1.33806,0.72693,0.00378,0.7447,0.67523,0.71952,0.45556,1.27343,0.63162,0.00475,0.00121783,0.00121783,0.00121783
15,601.521,1.30684,0.68679,0.00363,0.70984,0.70895,0.70465,0.46229,1.25629,0.66525,0.00471,0.00121535,0.00121535,0.00121535
16,634.366,1.33069,0.6924,0.00384,0.64683,0.71303,0.68527,0.46333,1.25337,0.60487,0.0047,0.00121287,0.00121287,0.00121287
17,667.85,1.34093,0.67593,0.00372,0.68141,0.67811,0.71825,0.48183,1.25264,0.58106,0.0047,0.0012104,0.0012104,0.0012104
18,701.135,1.29598,0.66678,0.0036,0.69274,0.7033,0.71695,0.48223,1.25975,0.58956,0.00472,0.00120793,0.00120793,0.00120793
19,734.135,1.30197,0.64625,0.00369,0.85377,0.64666,0.70912,0.4777,1.23966,0.57223,0.00469,0.00120545,0.00120545,0.00120545
20,767.894,1.30847,0.64334,0.00356,0.65191,0.76731,0.70833,0.45543,1.28911,0.58551,0.00482,0.00120298,0.00120298,0.00120298
21,801.446,1.29204,0.62962,0.00365,0.67094,0.68912,0.72542,0.49475,1.21632,0.56652,0.00456,0.0012005,0.0012005,0.0012005
22,835.067,1.29549,0.62572,0.00353,0.62372,0.63755,0.69127,0.47343,1.25017,0.57421,0.00463,0.00119802,0.00119802,0.00119802
23,868.294,1.29905,0.62879,0.00366,0.76519,0.69841,0.73286,0.4804,1.27801,0.57429,0.00479,0.00119555,0.00119555,0.00119555
24,901.598,1.30309,0.61313,0.00356,0.79822,0.65293,0.71956,0.47435,1.21861,0.56125,0.00448,0.00119308,0.00119308,0.00119308
