epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1960.9,0.83996,0.52805,0.85509,0.9753,0.75492,0.89669,0.67846,0.44666,0.47881,0.52628,0.000660045,0.000660045,0.000660045
43,2008.44,0.83358,0.53491,0.85642,0.89155,0.81509,0.90895,0.66975,0.45765,0.42586,0.52128,0.000649046,0.000649046,0.000649046
44,2050.08,0.83918,0.51879,0.84962,0.88257,0.8207,0.89965,0.67826,0.44664,0.31504,0.51882,0.000638047,0.000638047,0.000638047
45,2092.78,0.84092,0.52845,0.85013,0.91692,0.79155,0.90954,0.6422,0.43463,0.65637,0.52146,0.000627048,0.000627048,0.000627048
46,2135.11,0.83351,0.51973,0.85149,0.86966,0.8772,0.91443,0.66296,0.44834,0.81929,0.51832,0.000616049,0.000616049,0.000616049
47,2179.81,0.81107,0.51634,0.84485,0.92501,0.7753,0.89603,0.68448,0.43004,0.48358,0.51508,0.000605051,0.000605051,0.000605051
48,2220.47,0.82825,0.51984,0.85154,0.93243,0.82174,0.91686,0.70129,0.42912,0.41645,0.51857,0.000594052,0.000594052,0.000594052
49,2257.62,0.83304,0.52006,0.85111,0.92439,0.84496,0.92602,0.68522,0.42752,0.40829,0.517,0.000583053,0.000583053,0.000583053
50,2293.91,0.82217,0.51708,0.84809,0.8806,0.85571,0.91337,0.69313,0.42269,0.40844,0.51467,0.000572054,0.000572054,0.000572054
51,2329.13,0.82144,0.51514,0.85071,0.93244,0.77035,0.91331,0.66092,0.43213,0.62875,0.51774,0.000561055,0.000561055,0.000561055
52,2362.4,0.79939,0.4955,0.84714,0.91319,0.80044,0.92149,0.67367,0.43413,0.36519,0.51897,0.000550056,0.000550056,0.000550056
53,2397.97,0.80654,0.50761,0.84453,0.84433,0.82631,0.91093,0.67142,0.43264,0.4696,0.51674,0.000539057,0.000539057,0.000539057
