epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1112.98,1.35942,0.5596,0.003,0.93493,0.8965,0.95778,0.63629,1.2967,0.52065,0.00422,0.000660045,0.000660045,0.000660045
43,1141.28,1.35299,0.55798,0.00294,0.93581,0.88998,0.95863,0.63503,1.30267,0.53721,0.00419,0.000649046,0.000649046,0.000649046
44,1166.91,1.32529,0.55225,0.0031,0.95057,0.88013,0.95974,0.63527,1.28077,0.53844,0.00414,0.000638047,0.000638047,0.000638047
45,1193.35,1.3331,0.54816,0.0029,0.92119,0.90206,0.96197,0.61351,1.33045,0.54137,0.00437,0.000627048,0.000627048,0.000627048
46,1222.07,1.36813,0.55588,0.003,0.93559,0.9064,0.95986,0.63118,1.27452,0.53308,0.00419,0.000616049,0.000616049,0.000616049
47,1249.46,1.32314,0.55686,0.00299,0.93271,0.88769,0.96112,0.63603,1.28838,0.53718,0.00415,0.000605051,0.000605051,0.000605051
48,1269.16,1.31,0.54237,0.00284,0.9408,0.89655,0.96261,0.63378,1.2593,0.53942,0.00407,0.000594052,0.000594052,0.000594052
49,1293.86,1.35243,0.54548,0.00298,0.92609,0.92611,0.96459,0.63814,1.27464,0.53499,0.00417,0.000583053,0.000583053,0.000583053
50,1315.64,1.32275,0.52836,0.00292,0.92905,0.9064,0.95885,0.63773,1.28664,0.53271,0.00415,0.000572054,0.000572054,0.000572054
51,1333.88,1.30902,0.52209,0.00294,0.93683,0.90109,0.96369,0.62725,1.30136,0.53017,0.00422,0.000561055,0.000561055,0.000561055
52,1349.61,1.30625,0.52007,0.00281,0.92174,0.90476,0.96447,0.63395,1.30472,0.53283,0.00426,0.000550056,0.000550056,0.000550056
53,1365.84,1.33519,0.51561,0.00301,0.91803,0.91133,0.95978,0.63795,1.27934,0.52641,0.00415,0.000539057,0.000539057,0.000539057
54,1383.12,1.29302,0.5123,0.00281,0.92556,0.9179,0.9613,0.63014,1.30279,0.52783,0.00417,0.000528058,0.000528058,0.000528058
55,1401.45,1.30321,0.52231,0.00289,0.92235,0.89716,0.95621,0.636,1.30225,0.54034,0.00416,0.000517059,0.000517059,0.000517059
56,1419.74,1.3096,0.51545,0.0028,0.95606,0.89315,0.96259,0.64299,1.27305,0.50994,0.00414,0.00050606,0.00050606,0.00050606
57,1437.3,1.29189,0.50602,0.00278,0.92835,0.90148,0.95927,0.63794,1.27414,0.52796,0.00418,0.000495062,0.000495062,0.000495062
58,1454.22,1.29537,0.50884,0.00284,0.95025,0.90957,0.96305,0.6351,1.2785,0.52871,0.00412,0.000484063,0.000484063,0.000484063
59,1471.88,1.29442,0.50687,0.00285,0.94143,0.90969,0.96452,0.63475,1.3084,0.52204,0.00419,0.000473064,0.000473064,0.000473064
60,1489.43,1.28941,0.51196,0.00287,0.91618,0.91461,0.95966,0.64471,1.25131,0.5111,0.00401,0.000462065,0.000462065,0.000462065
61,1506.35,1.28804,0.50054,0.00284,0.94925,0.9064,0.9676,0.6493,1.26423,0.49957,0.0041,0.000451066,0.000451066,0.000451066
62,1523.79,1.27229,0.49662,0.00282,0.93145,0.90805,0.96054,0.6456,1.26095,0.52153,0.00412,0.000440067,0.000440067,0.000440067
63,1540.85,1.28276,0.49961,0.00279,0.94983,0.89984,0.96263,0.64156,1.26799,0.52172,0.00408,0.000429068,0.000429068,0.000429068
64,1558.06,1.25888,0.49774,0.00277,0.95365,0.9122,0.96311,0.64574,1.27509,0.50953,0.00409,0.000418069,0.000418069,0.000418069
65,1575.32,1.29529,0.5051,0.00278,0.94996,0.89819,0.96215,0.64306,1.2828,0.50687,0.00416,0.00040707,0.00040707,0.00040707
66,1592.12,1.26648,0.49432,0.00283,0.95272,0.89327,0.96657,0.63565,1.30304,0.50405,0.00419,0.000396071,0.000396071,0.000396071
67,1609.35,1.29257,0.50792,0.00277,0.92421,0.92118,0.96654,0.65606,1.23018,0.50966,0.00402,0.000385073,0.000385073,0.000385073
68,1627,1.24013,0.48218,0.00279,0.94173,0.90969,0.96737,0.64579,1.25548,0.51995,0.00411,0.000374074,0.000374074,0.000374074
69,1643.94,1.24707,0.4735,0.00279,0.9501,0.91461,0.96887,0.65817,1.26155,0.4843,0.00412,0.000363075,0.000363075,0.000363075
70,1661.65,1.26533,0.47875,0.00286,0.93931,0.91489,0.96326,0.65477,1.25309,0.47003,0.00406,0.000352076,0.000352076,0.000352076
71,1678.85,1.26443,0.49105,0.00268,0.94296,0.92297,0.96931,0.65405,1.26619,0.46864,0.00404,0.000341077,0.000341077,0.000341077
72,1695.95,1.24389,0.48143,0.00266,0.94889,0.91461,0.96377,0.65361,1.24998,0.47668,0.00405,0.000330078,0.000330078,0.000330078
73,1711.5,1.26517,0.478,0.00273,0.95233,0.92447,0.96905,0.66226,1.24128,0.45043,0.00404,0.000319079,0.000319079,0.000319079
74,1727.56,1.25442,0.48023,0.00267,0.94513,0.93342,0.9696,0.6574,1.24408,0.47018,0.00409,0.00030808,0.00030808,0.00030808
75,1743.57,1.24148,0.48743,0.00273,0.95056,0.91626,0.96838,0.66424,1.22671,0.47273,0.004,0.000297081,0.000297081,0.000297081
76,1759.44,1.23047,0.4822,0.00262,0.95198,0.92282,0.96433,0.65891,1.23752,0.48147,0.00404,0.000286083,0.000286083,0.000286083
77,1775.5,1.25066,0.48382,0.00267,0.94973,0.93268,0.96432,0.66825,1.22528,0.47537,0.00397,0.000275084,0.000275084,0.000275084
78,1791.57,1.22404,0.48262,0.00267,0.94898,0.91625,0.96941,0.665,1.22076,0.47118,0.00401,0.000264085,0.000264085,0.000264085
79,1808.72,1.22914,0.46992,0.00263,0.95263,0.9246,0.9709,0.66499,1.22986,0.46123,0.004,0.000253086,0.000253086,0.000253086
80,1825.51,1.20253,0.45772,0.00256,0.95823,0.93268,0.97125,0.66769,1.22923,0.47207,0.00403,0.000242087,0.000242087,0.000242087
81,1841.46,1.22083,0.4705,0.00269,0.96884,0.92611,0.97201,0.66846,1.23406,0.46977,0.00403,0.000231088,0.000231088,0.000231088
82,1858.67,1.21103,0.46123,0.00265,0.95208,0.91354,0.96871,0.66498,1.22144,0.47182,0.00399,0.000220089,0.000220089,0.000220089
83,1876.94,1.22506,0.46478,0.00266,0.95584,0.91954,0.97013,0.66076,1.23165,0.46492,0.00403,0.00020909,0.00020909,0.00020909
84,1895.57,1.21044,0.46093,0.00256,0.95749,0.90805,0.97081,0.66378,1.22337,0.46551,0.004,0.000198091,0.000198091,0.000198091
85,1914.74,1.22296,0.46609,0.00265,0.96211,0.9174,0.97162,0.66648,1.22423,0.44626,0.00399,0.000187092,0.000187092,0.000187092
86,1929.11,1.19365,0.45729,0.0026,0.95454,0.92611,0.97158,0.66924,1.22209,0.4586,0.00398,0.000176094,0.000176094,0.000176094
87,1942.56,1.19273,0.45555,0.00269,0.95215,0.92447,0.97068,0.67201,1.21364,0.4762,0.00394,0.000165095,0.000165095,0.000165095
88,1960.05,1.19034,0.45399,0.0026,0.95882,0.92447,0.97014,0.67075,1.20124,0.4607,0.00393,0.000154096,0.000154096,0.000154096
89,1978.31,1.17583,0.45652,0.00262,0.95926,0.928,0.96992,0.67126,1.20747,0.46509,0.00393,0.000143097,0.000143097,0.000143097
90,1994.93,1.20556,0.45963,0.00254,0.95246,0.92107,0.9698,0.66709,1.21913,0.46083,0.00396,0.000132098,0.000132098,0.000132098
91,2031.23,1.1999,0.44061,0.00287,0.9522,0.93103,0.96683,0.66541,1.23027,0.44534,0.00403,0.000121099,0.000121099,0.000121099
92,2047.89,1.17952,0.43591,0.00285,0.94571,0.92447,0.9649,0.653,1.26469,0.47003,0.00409,0.0001101,0.0001101,0.0001101
93,2064.39,1.17915,0.43195,0.00286,0.94445,0.92127,0.96438,0.66425,1.23436,0.46664,0.00404,9.91012e-05,9.91012e-05,9.91012e-05
94,2080.58,1.17306,0.44216,0.00275,0.95115,0.91461,0.9648,0.66182,1.23823,0.47027,0.00406,8.81023e-05,8.81023e-05,8.81023e-05
95,2097.1,1.16004,0.4229,0.00284,0.95242,0.92118,0.96558,0.65977,1.25177,0.46856,0.00408,7.71034e-05,7.71034e-05,7.71034e-05
96,2113.63,1.16583,0.42984,0.00275,0.94609,0.92282,0.9691,0.66459,1.25147,0.45446,0.00408,6.61045e-05,6.61045e-05,6.61045e-05
97,2130.09,1.15691,0.42717,0.00278,0.95585,0.92436,0.97004,0.66133,1.25409,0.45129,0.00409,5.51056e-05,5.51056e-05,5.51056e-05
98,2145.38,1.15418,0.4285,0.00278,0.95821,0.92939,0.96738,0.66276,1.25609,0.45024,0.0041,4.41067e-05,4.41067e-05,4.41067e-05
99,2160.79,1.13326,0.40978,0.00278,0.95385,0.92775,0.96692,0.66485,1.24116,0.44971,0.00404,3.31078e-05,3.31078e-05,3.31078e-05
100,2175.84,1.15018,0.42128,0.0027,0.95528,0.93103,0.96688,0.66599,1.24931,0.43677,0.00405,2.21089e-05,2.21089e-05,2.21089e-05
