epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,106.197,1.8546,2.98571,0.00431,0.10979,0.96613,0.70307,0.36841,0.69634,4.88422,0.00241,0.000412281,0.000412281,0.000412281
2,152.53,1.74405,1.31569,0.00406,0.7924,0.72742,0.8345,0.44527,0.64841,3.89987,0.00226,0.000827306,0.000827306,0.000827306
3,198.935,1.74107,1.12086,0.00398,0.78149,0.76142,0.85124,0.4544,0.70694,3.2972,0.00249,0.00124068,0.00124068,0.00124068
4,243.215,1.70237,1.00899,0.00386,0.84177,0.75507,0.88593,0.4699,0.68903,3.00669,0.00238,0.00124257,0.00124257,0.00124257
5,285.717,1.67514,0.92992,0.00385,0.86013,0.80337,0.90038,0.49709,0.66329,2.82172,0.00237,0.0012401,0.0012401,0.0012401
6,324.606,1.64636,0.87101,0.00383,0.85972,0.8129,0.8917,0.50243,0.67414,2.47272,0.00241,0.00123763,0.00123763,0.00123763
7,363.148,1.69232,0.84043,0.00371,0.86914,0.85484,0.92672,0.51344,0.66913,2.12838,0.0024,0.00123515,0.00123515,0.00123515
8,410.254,1.6232,0.75527,0.00376,0.91313,0.86774,0.93229,0.53171,0.64548,1.98363,0.00234,0.00123268,0.00123268,0.00123268
9,458.017,1.60439,0.73299,0.00374,0.90791,0.85806,0.93937,0.52703,0.67646,1.81208,0.00243,0.0012302,0.0012302,0.0012302
10,504.703,1.59841,0.70019,0.00375,0.89204,0.88387,0.94044,0.55294,0.6368,1.48777,0.00231,0.00122773,0.00122773,0.00122773
11,549.818,1.57873,0.696,0.00359,0.88889,0.87258,0.9308,0.54453,0.64686,1.40286,0.0023,0.00122525,0.00122525,0.00122525
12,596.145,1.57357,0.68111,0.00358,0.92184,0.89516,0.94288,0.53951,0.67236,1.24557,0.00239,0.00122277,0.00122277,0.00122277
13,644.828,1.58769,0.68081,0.00368,0.92285,0.88065,0.94669,0.54856,0.64935,1.19196,0.00238,0.0012203,0.0012203,0.0012203
14,688.877,1.5778,0.66597,0.00354,0.92089,0.87742,0.935,0.55394,0.65281,1.03302,0.00234,0.00121783,0.00121783,0.00121783
15,730.597,1.53515,0.64663,0.00344,0.90098,0.86588,0.93915,0.54094,0.65354,0.92582,0.00232,0.00121535,0.00121535,0.00121535
16,775.242,1.53594,0.63926,0.00357,0.93085,0.85323,0.93805,0.56058,0.64662,0.84356,0.00238,0.00121287,0.00121287,0.00121287
17,829.894,1.50484,0.6286,0.00338,0.91898,0.87811,0.94154,0.57063,0.62567,0.75105,0.00231,0.0012104,0.0012104,0.0012104
18,878.566,1.52763,0.61029,0.00341,0.92841,0.87742,0.94584,0.56818,0.62617,0.69933,0.00226,0.00120793,0.00120793,0.00120793
19,925.76,1.51871,0.60585,0.00342,0.91481,0.90068,0.95018,0.58026,0.61359,0.65604,0.0022,0.00120545,0.00120545,0.00120545
20,974.445,1.51273,0.59367,0.00332,0.92616,0.87419,0.93761,0.56882,0.63439,0.65342,0.00226,0.00120298,0.00120298,0.00120298
21,1025.69,1.5111,0.59993,0.00341,0.9192,0.8991,0.95241,0.578,0.60891,0.6053,0.00216,0.0012005,0.0012005,0.0012005
22,1077.42,1.50251,0.57954,0.00342,0.93905,0.88871,0.9544,0.58782,0.61975,0.61229,0.00223,0.00119802,0.00119802,0.00119802
23,1124.79,1.48153,0.58567,0.0033,0.92908,0.9,0.94817,0.58711,0.6207,0.51471,0.00227,0.00119555,0.00119555,0.00119555
24,1171.61,1.43086,0.55417,0.00315,0.96471,0.88178,0.9544,0.59834,0.59653,0.4887,0.00219,0.00119308,0.00119308,0.00119308
25,1213.8,1.47926,0.56857,0.00339,0.93183,0.90396,0.95237,0.59381,0.58708,0.47179,0.00214,0.0011906,0.0011906,0.0011906
26,1258.61,1.44929,0.54836,0.00334,0.90522,0.92427,0.94944,0.59237,0.59956,0.4394,0.00215,0.00118812,0.00118812,0.00118812
27,1303.03,1.46799,0.55944,0.00326,0.93529,0.9092,0.95082,0.60601,0.57567,0.39163,0.0021,0.00118565,0.00118565,0.00118565
28,1348.54,1.47483,0.56219,0.00342,0.92627,0.8916,0.95008,0.59232,0.59101,0.42386,0.00212,0.00118317,0.00118317,0.00118317
29,1394.45,1.44178,0.5366,0.00325,0.90881,0.91935,0.95429,0.59112,0.5954,0.403,0.00216,0.0011807,0.0011807,0.0011807
30,1441.12,1.47298,0.55283,0.00324,0.92132,0.90323,0.95503,0.59464,0.59723,0.3953,0.00215,0.00117822,0.00117822,0.00117822
31,1489.41,1.45189,0.54404,0.00339,0.93374,0.90919,0.9561,0.59708,0.5849,0.37334,0.00213,0.00117575,0.00117575,0.00117575
32,1526.98,1.43368,0.52103,0.00324,0.93794,0.90968,0.9645,0.60424,0.58219,0.35869,0.00213,0.00117327,0.00117327,0.00117327
33,1572.28,1.42651,0.52652,0.00315,0.9279,0.91452,0.96405,0.60672,0.57281,0.35143,0.00206,0.0011708,0.0011708,0.0011708
34,1617.43,1.40172,0.53142,0.00327,0.91454,0.92581,0.95652,0.60086,0.57723,0.3639,0.00209,0.00116833,0.00116833,0.00116833
35,1665.88,1.44608,0.54211,0.00319,0.91619,0.93443,0.96492,0.60021,0.58216,0.36264,0.00208,0.00116585,0.00116585,0.00116585
36,1715.68,1.41435,0.52958,0.00322,0.93016,0.9129,0.95547,0.599,0.57043,0.37189,0.00209,0.00116337,0.00116337,0.00116337
37,1764.39,1.41788,0.53438,0.00316,0.93925,0.90161,0.96246,0.61038,0.57312,0.31736,0.00207,0.0011609,0.0011609,0.0011609
38,1810.42,1.45223,0.53505,0.00318,0.95758,0.91026,0.96045,0.60169,0.58561,0.35418,0.00219,0.00115843,0.00115843,0.00115843
39,1861.87,1.42287,0.52987,0.00317,0.94222,0.91613,0.95759,0.59228,0.6159,0.43098,0.00219,0.00115595,0.00115595,0.00115595
40,1908.77,1.40607,0.52032,0.00317,0.93938,0.93065,0.96602,0.6127,0.56704,0.2835,0.00204,0.00115348,0.00115348,0.00115348
41,1947.7,1.39508,0.52293,0.00314,0.93143,0.89829,0.96034,0.61283,0.58615,0.33358,0.00213,0.001151,0.001151,0.001151
42,1992.51,1.41612,0.52937,0.00319,0.9461,0.91613,0.95763,0.59889,0.5877,0.2838,0.00209,0.00114853,0.00114853,0.00114853
43,2038.96,1.37998,0.50763,0.00314,0.92947,0.90968,0.95965,0.6091,0.58588,0.33135,0.00213,0.00114605,0.00114605,0.00114605
44,2076.48,1.41487,0.51929,0.00314,0.94693,0.93065,0.96231,0.61212,0.59226,0.27184,0.00217,0.00114357,0.00114357,0.00114357
45,2112.87,1.40515,0.49617,0.00316,0.93563,0.93777,0.96681,0.6087,0.59829,0.27063,0.00214,0.0011411,0.0011411,0.0011411
46,2148.92,1.36527,0.48852,0.00296,0.95068,0.93261,0.96857,0.61312,0.58422,0.28348,0.00216,0.00113863,0.00113863,0.00113863
47,2190.52,1.3812,0.52502,0.00306,0.92855,0.89839,0.96231,0.62453,0.56521,0.25983,0.00205,0.00113615,0.00113615,0.00113615
48,2233.14,1.38865,0.51198,0.00307,0.94955,0.92097,0.96223,0.61216,0.57455,0.266,0.00208,0.00113368,0.00113368,0.00113368
49,2272.46,1.37847,0.52255,0.00301,0.94482,0.91142,0.95845,0.61465,0.57105,0.25957,0.00209,0.0011312,0.0011312,0.0011312
